13	6	150	150
940	0	0
942	1	0
904	2	0
1060	3	0
1002	4	0
909	5	0
1056	6	0
936	7	0
934	8	0
974	9	0
52	10	0
157	11	0
162	12	0
1055	0	1
1114	1	1
1088	2	1
1032	3	1
1008	4	1
1097	5	1
1044	6	1
1106	7	1
1030	8	1
1014	9	1
33	10	1
1069	0	2
925	1	2
1089	2	2
1020	3	2
995	4	2
1103	5	2
1031	6	2
1047	7	2
1058	8	2
1049	9	2
25	10	2
1000	11	2
941	0	3
1068	1	3
921	2	3
1033	3	3
1007	4	3
994	5	3
1108	6	3
1063	7	3
1021	8	3
949	9	3
153	10	3
1036	0	4
1072	1	4
1053	2	4
1071	3	4
998	4	4
1022	5	4
1017	6	4
920	7	4
1003	8	4
1090	9	4
17	10	4
21	11	4
64	12	4
1073	0	5
953	1	5
964	2	5
1034	3	5
916	4	5
918	5	5
937	6	5
1025	7	5
915	8	5
928	9	5
183	10	5
10	11	5
126	12	5
