1002	0	0
9999	1	0
1007	2	0
9999	3	0
1008	4	0
9999	5	0
1020	6	0
9999	7	0
1032	8	0
9999	9	0
1033	10	0
9999	11	0
1055	12	0
9999	0	1
1060	1	1
9999	2	1
1068	3	1
9999	4	1
1069	5	1
9999	6	1
1088	7	1
9999	8	1
1089	9	1
9999	10	1
1114	11	1
9999	12	1
904	0	2
9999	1	2
921	2	2
9999	3	2
925	4	2
9999	5	2
940	6	2
9999	7	2
941	8	2
9999	9	2
942	10	2
9999	11	2
995	12	2
9999	0	3
9999	1	3
9999	2	3
9999	3	3
9999	4	3
9999	5	3
9999	6	3
9999	7	3
9999	8	3
9999	9	3
9999	10	3
9999	11	3
9999	12	3
9999	0	4
9999	1	4
9999	2	4
9999	3	4
9999	4	4
9999	5	4
9999	6	4
9999	7	4
9999	8	4
9999	9	4
9999	10	4
9999	11	4
9999	12	4
9999	0	5
9999	1	5
9999	2	5
9999	3	5
9999	4	5
9999	5	5
9999	6	5
9999	7	5
9999	8	5
9999	9	5
9999	10	5
9999	11	5
9999	12	5
