311	0	0
9999	1	0
314	2	0
9999	3	0
319	4	0
9999	5	0
328	6	0
9999	7	0
331	8	0
9999	9	0
337	10	0
9999	11	0
341	12	0
9999	0	1
350	1	1
9999	2	1
354	3	1
9999	4	1
367	5	1
9999	6	1
369	7	1
9999	8	1
384	9	1
9999	10	1
385	11	1
9999	12	1
420	0	2
9999	1	2
428	2	2
9999	3	2
461	4	2
9999	5	2
471	6	2
9999	7	2
473	8	2
9999	9	2
486	10	2
9999	11	2
487	12	2
9999	0	3
494	1	3
9999	2	3
495	3	3
9999	4	3
504	5	3
9999	6	3
510	7	3
9999	8	3
9999	9	3
9999	10	3
9999	11	3
9999	12	3
9999	0	4
9999	1	4
9999	2	4
9999	3	4
9999	4	4
9999	5	4
9999	6	4
9999	7	4
9999	8	4
9999	9	4
9999	10	4
9999	11	4
9999	12	4
9999	0	5
9999	1	5
9999	2	5
9999	3	5
9999	4	5
9999	5	5
9999	6	5
9999	7	5
9999	8	5
9999	9	5
9999	10	5
9999	11	5
9999	12	5
