13	6	150	150
1272	0	0
1271	1	0
1245	2	0
1147	3	0
1171	4	0
1295	5	0
1116	6	0
1151	7	0
1134	8	0
1209	9	0
493	10	0
459	11	0
416	12	0
1254	0	1
1132	1	1
1300	2	1
1298	3	1
1297	4	1
1135	5	1
1192	6	1
1274	7	1
1201	8	1
1266	9	1
397	10	1
1150	0	2
1182	1	2
1329	2	2
1125	3	2
1199	4	2
1324	5	2
1301	6	2
1270	7	2
1310	8	2
1161	9	2
418	10	2
1117	0	3
1146	1	3
1293	2	3
1316	3	3
1328	4	3
1303	5	3
1219	6	3
1143	7	3
1193	8	3
1288	9	3
415	10	3
1155	0	4
1149	1	4
1217	2	4
1213	3	4
1226	4	4
1200	5	4
1173	6	4
1181	7	4
1287	8	4
1152	9	4
376	10	4
481	11	4
476	12	4
1292	0	5
1144	1	5
1286	2	5
1190	3	5
1218	4	5
1257	5	5
1309	6	5
1283	7	5
1246	8	5
1121	9	5
396	10	5
477	11	5
434	12	5
